name;city;object_type;star_number;area;guest_grade;review_number;meal_plan;is_free_cancel_reservation;price;href;latitude;longitude;staff;facilities;cleanliness;comfort;value_for_money;location;wifi
Udalla Park - Hotel & Apartamentos;Playa de las Americas;Studio z balkonem (2 osoby dorosłe);3.0;42.0;7.4;2410;No meal;True;3335;https://www.booking.com/hotel/es/udalla-park.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=58&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=4480403_390230883_0_2_0&highlighted_blocks=4480403_390230883_0_2_0&matching_block_id=4480403_390230883_0_2_0&sr_pri_blocks=4480403_390230883_0_2_0__78309&from=searchresults#hotelTmpl;28.05648225;-16.72454417;8.6;7.2;7.7;7.5;7.5;8.6;7.0
H10 Las Palmeras;Playa de las Americas;Pokój Dwuosobowy z 1 lub 2 łóżkami;4.0;;8.0;1832;Breakfast;False;5684;https://www.booking.com/hotel/es/h10laspalmeras.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=59&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=9061111_113413312_0_41_0&highlighted_blocks=9061111_113413312_0_41_0&matching_block_id=9061111_113413312_0_41_0&sr_pri_blocks=9061111_113413312_0_41_0__133482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.06080906;-16.73222065;8.6;8.1;8.4;8.4;7.5;9.0;7.1
Apartamentos Tinerfe Garden;Adeje;Pokój z 2 łóżkami pojedynczymi i prywatną łazienką;3.0;;7.2;2488;No meal;False;1738;https://www.booking.com/hotel/es/apartamentos-tinerfe-garden.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=60&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=31743005_349459371_2_0_0&highlighted_blocks=31743005_349459371_2_0_0&matching_block_id=31743005_349459371_2_0_0&sr_pri_blocks=31743005_349459371_2_0_0__40824&from=searchresults#hotelTmpl;28.07870142;-16.73078299;8.5;7.2;7.4;7.2;7.8;8.7;7.4
Wyndham Residences Costa Adeje;Adeje;Apartament z 1 Sypialnią z widokiem na ocean;4.0;37.0;8.8;1081;No meal;False;4124;https://www.booking.com/hotel/es/wyndham-residences-tenerife-costa-adeje.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=61&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=796324201_339784939_2_34_0&highlighted_blocks=796324201_339784939_2_34_0&matching_block_id=796324201_339784939_2_34_0&sr_pri_blocks=796324201_339784939_2_34_0__96840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.07591247;-16.72444581;9.4;8.9;9.1;9.1;8.6;8.1;8.3
MYND Adeje;Adeje;Pokój Dwuosobowy z tarasem;4.0;;9.2;1406;Breakfast;False;4105;https://www.booking.com/hotel/es/mynd-adeje.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=62&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=763671002_333439238_2_1_0&highlighted_blocks=763671002_333439238_2_1_0&matching_block_id=763671002_333439238_2_1_0&sr_pri_blocks=763671002_333439238_2_1_0__96390&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.130511;-16.780821;9.6;9.4;9.5;9.5;9.1;8.5;9.0
Labranda Suites Costa Adeje;Adeje;Pokój rodzinny;4.0;;8.2;1500;Breakfast and dinner;False;4802;https://www.booking.com/hotel/es/isla-bonita-adeje.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=63&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=1941274_125886294_2_17_0&highlighted_blocks=1941274_125886294_2_17_0&matching_block_id=1941274_125886294_2_17_0&sr_pri_blocks=1941274_125886294_2_17_0__112770&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.08917985;-16.73423767;8.7;8.4;8.6;8.6;8.0;8.9;8.4
Landmar Playa La Arena;Puerto de Santiago;Pokój typu Superior (2 osoby dorosłe);4.0;;8.6;1588;Breakfast;True;5781;https://www.booking.com/hotel/es/oasis-playa-la-arena.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=64&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=26398329_263818001_0_41_0&highlighted_blocks=26398329_263818001_0_41_0&matching_block_id=26398329_263818001_0_41_0&sr_pri_blocks=26398329_263818001_0_41_0__135761&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.23120016;-16.84111767;9.0;8.9;9.1;9.0;8.4;8.9;8.7
Gara Suites Golf & Spa;Playa de las Americas;Apartament typu Standard Suite;4.0;58.0;7.8;7564;Breakfast;True;3035;https://www.booking.com/hotel/es/gara-suites.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=65&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=394636709_217400361_2_41_0&highlighted_blocks=394636709_217400361_2_41_0&matching_block_id=394636709_217400361_2_41_0&sr_pri_blocks=394636709_217400361_2_41_0__71280&from=searchresults#hotelTmpl;28.063396;-16.721214;8.3;8.0;8.2;8.2;7.9;7.8;7.2
Kn Hotel Arenas del Mar Adults Only;El Médano;Apartament typu Junior Suite z widokiem na góry (2 osoby dorosłe);4.0;;7.7;1522;Breakfast;True;5553;https://www.booking.com/hotel/es/arenas-del-mar.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=66&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=4479228_142040867_0_41_0&highlighted_blocks=4479228_142040867_0_41_0&matching_block_id=4479228_142040867_0_41_0&sr_pri_blocks=4479228_142040867_0_41_0__130410&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.05023317;-16.52880192;8.8;7.9;8.1;8.1;7.6;8.1;7.8
Royal Sunset Beach Club;Adeje;Apartament z 1 sypialnią;3.0;61.0;8.7;1357;No meal;False;4732;https://www.booking.com/hotel/es/royal-sunset-beach-club.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=67&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=18875901_88494785_0_0_0&highlighted_blocks=18875901_88494785_0_0_0&matching_block_id=18875901_88494785_0_0_0&sr_pri_blocks=18875901_88494785_0_0_0__111123&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.08671061;-16.734813;9.2;9.0;9.1;9.1;8.6;9.4;8.8
Hotel Emblemático San Agustin;Icod de los Vinos;Pokój Dwuosobowy z 1 lub 2 łóżkami;;;9.5;884;Breakfast;False;3839;https://www.booking.com/hotel/es/emblema-tico-san-agustin.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=68&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=42720501_119420381_0_1_0&highlighted_blocks=42720501_119420381_0_1_0&matching_block_id=42720501_119420381_0_1_0&sr_pri_blocks=42720501_119420381_0_1_0__90160&from=searchresults#hotelTmpl;28.36714571;-16.71824272;9.9;9.3;9.7;9.5;9.4;9.5;8.0
Hotel Best Jacaranda;Adeje;Pokój Dwuosobowy z balkonem;4.0;;7.9;2482;No meal;True;4003;https://www.booking.com/hotel/es/hotel-best-jacaranda.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=69&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=9332846_333969245_0_42_0&highlighted_blocks=9332846_333969245_0_42_0&matching_block_id=9332846_333969245_0_42_0&sr_pri_blocks=9332846_333969245_0_42_0__94007&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.08807953;-16.73225284;8.5;8.0;8.2;8.2;7.8;8.7;7.2
Adrián Hoteles Roca Nivaria;Adeje;Pokój Dwuosobowy z 1 lub 2 łóżkami i widokiem na morze;5.0;;8.9;1570;Breakfast;True;7422;https://www.booking.com/hotel/es/roca-nivaria-gran.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=70&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=9467514_341653583_0_41_0&highlighted_blocks=9467514_341653583_0_41_0&matching_block_id=9467514_341653583_0_41_0&sr_pri_blocks=9467514_341653583_0_41_0__174300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.120926;-16.77674532;9.3;9.2;9.4;9.4;8.5;8.8;7.8
Grand Muthu Golf Plaza Hotel & Spa;San Miguel de Abona;Pokój Dwuosobowy z tarasem;5.0;;7.1;1315;No meal;False;2761;https://www.booking.com/hotel/es/hotetur-golf-plaza.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=71&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=1943115_95144179_2_42_0&highlighted_blocks=1943115_95144179_2_42_0&matching_block_id=1943115_95144179_2_42_0&sr_pri_blocks=1943115_95144179_2_42_0__64831&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.02777491;-16.61077291;8.6;7.2;7.4;7.5;7.2;7.4;7.6
Hotel Rural El Navío - Adults Only;Alkala;Pokój typu Budget z 2 łóżkami pojedynczymi;4.0;;8.8;578;Breakfast;False;2280;https://www.booking.com/hotel/es/rural-el-navio.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=72&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=28153304_91126850_2_33_0&highlighted_blocks=28153304_91126850_2_33_0&matching_block_id=28153304_91126850_2_33_0&sr_pri_blocks=28153304_91126850_2_33_0__53550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.21149676;-16.82841137;9.6;8.3;8.9;8.6;8.6;9.0;7.5
Hotel Rural San Miguel - Only Adults;San Miguel de Abona;Pokój Dwuosobowy z 1 lub 2 łóżkami;4.0;;8.7;827;Breakfast;True;2884;https://www.booking.com/hotel/es/rural-san-miguel.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=73&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=43240101_271947368_0_1_0&highlighted_blocks=43240101_271947368_0_1_0&matching_block_id=43240101_271947368_0_1_0&sr_pri_blocks=43240101_271947368_0_1_0__67716&from=searchresults#hotelTmpl;28.09701435;-16.61957726;9.2;8.7;8.9;8.8;8.8;8.4;8.3
Hotel RF Astoria - Adults Only;Puerto de la Cruz;Studio;3.0;33.0;8.3;1737;No meal;True;2087;https://www.booking.com/hotel/es/astoria.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=74&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=9693302_389605617_0_0_0&highlighted_blocks=9693302_389605617_0_0_0&matching_block_id=9693302_389605617_0_0_0&sr_pri_blocks=9693302_389605617_0_0_0__49000&from=searchresults#hotelTmpl;28.41632418;-16.54550403;9.4;8.1;8.9;8.5;8.8;9.3;6.9
Urban Anaga Hotel;Santa Cruz de Tenerife;Pokój dwuosobowy;4.0;;8.3;2901;No meal;False;3673;https://www.booking.com/hotel/es/urban-anaga.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=75&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=546857802_197414592_0_2_0&highlighted_blocks=546857802_197414592_0_2_0&matching_block_id=546857802_197414592_0_2_0&sr_pri_blocks=546857802_197414592_0_2_0__86250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.46579;-16.24951;8.7;8.6;8.8;8.8;8.3;9.2;8.9
Dreams Jardin Tropical Resort & Spa;Adeje;Pokój dwuosobowy;4.0;;8.8;2824;Breakfast;True;7154;https://www.booking.com/hotel/es/jardin-tropical.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=76&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826925&all_sr_blocks=9469449_335892137_2_41_0&highlighted_blocks=9469449_335892137_2_41_0&matching_block_id=9469449_335892137_2_41_0&sr_pri_blocks=9469449_335892137_2_41_0__168000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.07544505;-16.73449516;9.1;9.0;9.1;9.1;8.2;9.1;7.9
AC Hotel by Marriott Tenerife;Santa Cruz de Tenerife;Pokój typu Standard z łóżkiem typu king-size;4.0;;8.6;1820;No meal;True;3060;https://www.booking.com/hotel/es/ac-by-marriott-tenerife.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=77&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=716620402_298979652_0_2_0&highlighted_blocks=716620402_298979652_0_2_0&matching_block_id=716620402_298979652_0_2_0&sr_pri_blocks=716620402_298979652_0_2_0__71851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.466647;-16.248129;9.2;8.9;9.2;9.2;8.4;9.5;8.3
Sol Costa Atlantis Tenerife;Puerto de la Cruz;Pokój z 2 łóżkami pojedynczymi;4.0;;8.1;2387;Breakfast;False;3514;https://www.booking.com/hotel/es/sol-costa-atlantis-tenerife.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=78&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=1765406_95142517_2_33_0&highlighted_blocks=1765406_95142517_2_33_0&matching_block_id=1765406_95142517_2_33_0&sr_pri_blocks=1765406_95142517_2_33_0__82530&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.417256;-16.54239267;8.9;8.1;8.6;8.5;7.9;9.2;7.7
Hotel AF Valle Orotava;Puerto de la Cruz;Pokój Dwuosobowy z balkonem;4.0;;8.5;2629;Breakfast;True;2733;https://www.booking.com/hotel/es/hotel-valle-orotava.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=79&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=77559609_393194030_0_1_0&highlighted_blocks=77559609_393194030_0_1_0&matching_block_id=77559609_393194030_0_1_0&sr_pri_blocks=77559609_393194030_0_1_0__64184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.41464925;-16.55206203;8.9;8.6;8.9;8.9;8.6;9.1;8.2
Gran Oasis Resort;Playa de las Americas;Rodzinny apartament typu Suite;4.0;;8.5;1846;Breakfast;True;5258;https://www.booking.com/hotel/es/oasis-golf-resort.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=80&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=1213436_388013799_2_41_0&highlighted_blocks=1213436_388013799_2_41_0&matching_block_id=1213436_388013799_2_41_0&sr_pri_blocks=1213436_388013799_2_41_0__123480&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.06309547;-16.71322525;9.2;8.8;8.9;8.8;8.5;7.6;8.3
Hacienda del Conde Meliá Collection - Adults Only - Small Luxury Hotels of the World;Buenavista del Norte;Apartament typu Singular Junior Suite;5.0;;9.1;1028;Breakfast;False;6297;https://www.booking.com/hotel/es/hacienda-del-conde-member-of-melia-collection.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=81&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=17691418_91989360_2_33_0&highlighted_blocks=17691418_91989360_2_33_0&matching_block_id=17691418_91989360_2_33_0&sr_pri_blocks=17691418_91989360_2_33_0__147870&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.36936421;-16.85884774;9.4;9.3;9.5;9.5;8.6;8.9;8.8
Green Garden Eco Resort & Villas;Playa de las Americas;Willa z 1 sypialnią (2 osoby dorosłe);4.0;50.0;8.8;1337;Breakfast;True;5231;https://www.booking.com/hotel/es/green-golf-resort.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=82&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826929&all_sr_blocks=1218537_383983926_0_41_0&highlighted_blocks=1218537_383983926_0_41_0&matching_block_id=1218537_383983926_0_41_0&sr_pri_blocks=1218537_383983926_0_41_0__122850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.06371559;-16.71982348;9.4;9.0;9.2;9.2;8.6;8.4;8.3
